,area,furnishing,floor_number,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,others,maintenance_amt,brok_amt,deposit_amt,rent,total_rooms,location_encoded,mnt_amt_encoded,avalable_for_encoded
0,760.0,0,5,0,1,1,2,0,0,11,1,0,2,2,0,0,0,10.596634733096073,14000.0,5,12367.670807453416,0.7888970051132214,0.5010956902848794
1,628.0,2,3,0,1,0,1,0,0,11,1,0,0,4,0,0,0,10.596634733096073,13000.0,3,21980.0,0.7888970051132214,0.40577063550036524
2,950.0,1,1,0,0,0,1,0,0,11,1,1,2,2,0,0,0,10.819778284410283,17000.0,5,21122.96923076923,0.7888970051132214,0.40577063550036524
3,836.0,0,8,0,1,1,0,0,0,12,2,0,0,4,0,0,0,11.184421397998193,13000.0,5,13500.0,0.7888970051132214,0.5010956902848794
4,1350.0,1,1,0,1,0,1,0,1,11,1,0,0,2,0,0,0,11.512925464970229,27000.0,7,15552.35652173913,0.7888970051132214,0.40577063550036524
5,870.0,0,7,0,1,0,1,0,0,11,0,0,1,1,0,0,0,10.596634733096073,15000.0,5,19136.348484848484,0.7888970051132214,0.5010956902848794
6,1000.0,2,6,0,1,0,1,1,1,22,1,0,1,4,1,0,26000,11.512925464970229,26000.0,4,21980.0,0.7888970051132214,0.40577063550036524
7,475.0,0,2,0,0,0,1,0,0,11,1,0,0,2,0,0,0,9.903487552536127,8500.0,3,12410.44776119403,0.7888970051132214,0.40577063550036524
8,1000.0,2,5,0,1,0,1,1,1,11,1,0,2,2,0,0,0,10.596634733096073,15000.0,3,15000.0,0.7888970051132214,0.5010956902848794
9,500.0,2,4,0,1,0,1,1,1,1,1,0,1,3,1,76,16000,10.714417768752456,16000.0,2,21857.14285714286,0.02556610664718773,0.5010956902848794
10,1200.0,1,0,0,0,0,1,0,1,11,1,1,0,4,0,0,0,10.819778284410283,20000.0,6,13571.42857142857,0.7888970051132214,0.5010956902848794
11,470.0,0,3,0,0,0,1,0,1,11,1,0,2,1,0,77,0,10.308952660644293,11000.0,5,16775.0,0.02556610664718773,0.5010956902848794
12,630.0,1,4,0,1,0,1,0,0,12,0,0,2,3,0,0,0,10.596634733096073,12000.0,3,12000.0,0.7888970051132214,0.5010956902848794
13,1070.0,0,5,0,1,0,1,0,0,11,2,0,1,3,0,0,0,10.819778284410283,13000.0,5,13000.0,0.7888970051132214,0.40577063550036524
14,466.0,0,3,0,1,0,1,0,0,11,1,0,2,2,1,0,10500,10.308952660644293,10000.0,2,14000.0,0.7888970051132214,0.40577063550036524
15,790.0,0,9,0,1,0,1,1,0,12,1,0,2,2,0,0,0,10.596634733096073,18000.0,5,15552.35652173913,0.7888970051132214,0.5010956902848794
16,626.0,0,6,0,1,0,1,0,0,11,2,0,1,2,0,0,0,10.126631103850338,13000.0,5,12000.0,0.7888970051132214,0.40577063550036524
17,550.0,0,2,0,0,0,1,0,0,11,1,0,2,2,0,6,0,9.903487552536127,12000.0,3,13038.461538461539,0.004747991234477721,0.40577063550036524
18,525.0,2,9,0,1,1,1,1,1,12,2,0,2,3,0,2,15000,10.596634733096073,14000.0,3,19136.348484848484,0.05003652300949598,0.40577063550036524
19,540.0,1,2,0,1,0,1,1,1,11,1,0,1,2,0,0,0,10.819778284410283,18500.0,3,23250.0,0.7888970051132214,0.5010956902848794
20,601.0,2,1,0,1,1,1,1,1,11,1,0,1,1,0,0,0,10.819778284410283,20000.0,5,14167.441860465116,0.7888970051132214,0.5010956902848794
